LEDOV DeepVS							
Relative error	 no rounding: 3.01383297%						0.00001
5	3.88E+00	 error (percent) = 	22.438767				
4	3.93E+00	 error (percent) = 	1.803506				
4	4.32E+00	 error (percent) = 	7.914234				
5	4.95E+00	 error (percent) = 	1.02152				
6	6.32E+00	 error (percent) = 	5.41123				
7	7.10E+00	 error (percent) = 	1.461785				
			9.415077375				
Mob-V1-05 Caltech							
5	3.98E+00	 error (percent) = 	20.336387				
4	3.78E+00	 error (percent) = 	5.427991				
4	4.32E+00	 error (percent) = 	7.951788				
5	4.44E+00	 error (percent) = 	11.141109				
6	4.89E+00	 error (percent) = 	18.52431				
7	5.66E+00	 error (percent) = 	19.082072				
8	7.31E+00	 error (percent) = 	8.572836				
9	8.14E+00	 error (percent) = 	9.521189				
			12.56971025				
Mob-V1-1 Caltech							
5	5.53E+00	 error (percent) = 	10.533328				
5	5.74E+00	 error (percent) = 	14.815671				
6	7.15E+00	 error (percent) = 	19.208739				
8	7.75E+00	 error (percent) = 	3.096191				
10	8.57E+00	 error (percent) = 	14.335915				
11	1.02E+01	 error (percent) = 	7.061962				
14	1.34E+01	 error (percent) = 	4.15326				
16	1.46E+01	 error (percent) = 	8.587738				
			10.2241005				
Inc V1 - Clatech							
11	1.09E+01	 error (percent) = 	0.539767				
13	1.25E+01	 error (percent) = 	3.935435				
17	1.69E+01	 error (percent) = 	0.702459				
21	1.91E+01	 error (percent) = 	9.097463				
25	2.11E+01	 error (percent) = 	15.406781				
29	2.57E+01	 error (percent) = 	11.328685				
38	3.42E+01	 error (percent) = 	9.970086				
42	3.67E+01	 error (percent) = 	12.552366				
			7.94163025				
